household_id;schema_version;generated_utc;phys_status;phys_status_reason;phys_no_result_reason;phys_no_result_fix;phys_no_result_is_fixable;phys_excess_confirmed;phys_era;phys_rank_fleet;phys_rank_in_era;phys_rank_on;phys_rank_scope;phys_rank_bias_note;phys_rank_value_kwh_yr;phys_rank_value_lo_kwh_yr;phys_rank_excludes_vintage;phys_deficiency_kwh_yr;phys_deficiency_lo_kwh_yr;phys_deficiency_hi_kwh_yr;phys_deficiency_band_kwh_yr;phys_deficiency_pct_of_reference;phys_deficiency_pct_lo;phys_deficiency_pct_hi;phys_group_house_kwh_yr;phys_group_house_lo_kwh_yr;phys_group_house_hi_kwh_yr;phys_group_house_owner;phys_group_heat_pump_kwh_yr;phys_group_heat_pump_lo_kwh_yr;phys_group_heat_pump_hi_kwh_yr;phys_group_heat_pump_owner;phys_heat_pump_point_is_no_claim;phys_term_envelope_kwh_yr;phys_term_emitter_kwh_yr;phys_term_dhw_kwh_yr;phys_term_vintage_kwh_yr;phys_vintage_factor;phys_unit_recommendation;phys_unit_age_years;phys_unit_age_reference_year;phys_unit_service_life_basis;phys_scenario_capacity_lo_kwh_yr;phys_scenario_capacity_mid_kwh_yr;phys_scenario_capacity_hi_kwh_yr;phys_scenario_never_sum_into_total;phys_context_e_as_built_kwh_yr;phys_context_e_reference_kwh_yr;phys_level_is_not_a_prediction;phys_appliances_excluded;phys_completeness_tier;phys_geometry_reconciles;phys_pv_level;phys_n_meter_days;phys_hdd_normal_per_day;phys_weather_basis;visit_status;visit_technician_recoverable_kwh;visit_slope_excess_lo_kwh;visit_slope_excess_hi_kwh;visit_slope_excess_pct;visit_step_kwh_day;visit_rank_in_era;visit_never_sum_with_phys_deficiency;visit_hidden_from_building_pages
1194992;physical_baseline_v2;2026-09-17T07:56:10Z;INCOMPLETE_AUDIT;never computed - see phys_no_result_reason for this household's cause;"building data missing: no_footprint;no_storeys;no_emitter";record the missing building data - an auditor can do this;True;;;;;phys_rank_value_lo_kwh_yr;fleet;"ranked fleet-wide; per m2 the physics under-predicts newer construction eras by 24-53% (P9/P21), so this order tilts toward older houses - filter by phys_era or use phys_rank_in_era";;;False;;;;;;;;;;;builder;;;;installer;False;;;;;;;;2024;measured failures, Weibull fit (ZHAW Hubbuch & Vecsei): air 20 yr SD 7, ground 26.7 yr SD 4.7;;;;True;;;True;True;;;Unknown;;;station normal year (record length does not enter);NOT_ASSESSABLE;;;;;;;True;True
1228011;physical_baseline_v2;2026-09-17T07:56:10Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut;;;;True;2001_2010;42.0;13.0;phys_rank_value_lo_kwh_yr;fleet;"ranked fleet-wide; per m2 the physics under-predicts newer construction eras by 24-53% (P9/P21), so this order tilts toward older houses - filter by phys_era or use phys_rank_in_era";2103.0;1958.0;False;2103.0;1958.0;2728.0;770.0;93.5;87.0;121.3;2103.0;1862.0;2549.0;builder;0.0;4.0;269.0;installer;True;265.0;0.0;1837.0;0.0;1.0;RECORD_INSTALL_YEAR;;2024;measured failures, Weibull fit (ZHAW Hubbuch & Vecsei): air 20 yr SD 7, ground 26.7 yr SD 4.7;75.0;149.0;224.0;True;4352.0;2249.0;True;True;T2;True;no PV;678.0;3.723;station normal year (record length does not enter);INCONCLUSIVE;402.0;-410.0;999.0;26.9;10.83;;True;True
114117;physical_baseline_v2;2026-09-17T07:56:10Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut;;;;True;1991_2000;60.0;8.0;phys_rank_value_lo_kwh_yr;fleet;"ranked fleet-wide; per m2 the physics under-predicts newer construction eras by 24-53% (P9/P21), so this order tilts toward older houses - filter by phys_era or use phys_rank_in_era";1714.0;1582.0;False;1714.0;1582.0;2571.0;989.0;55.5;51.2;83.3;1714.0;1512.0;2204.0;builder;0.0;15.0;549.0;installer;True;489.0;0.0;1225.0;0.0;1.0;RECORD_INSTALL_YEAR;;2024;measured failures, Weibull fit (ZHAW Hubbuch & Vecsei): air 20 yr SD 7, ground 26.7 yr SD 4.7;145.0;290.0;434.0;True;4801.0;3087.0;True;True;T2;True;Unknown;340.0;3.723;station normal year (record length does not enter);SLOPE_EXCESS;1712.0;313.0;2536.0;59.1;3.05;8.0;True;True
758039;physical_baseline_v2;2026-09-17T07:56:10Z;INCOMPLETE_AUDIT;never computed - see phys_no_result_reason for this household's cause;meter record too short or lacks season coverage;"none - needs a longer meter record; a visit does not help";True;;;;;phys_rank_value_lo_kwh_yr;fleet;"ranked fleet-wide; per m2 the physics under-predicts newer construction eras by 24-53% (P9/P21), so this order tilts toward older houses - filter by phys_era or use phys_rank_in_era";;;False;;;;;;;;;;;builder;;;;installer;False;;;;;;;;2024;measured failures, Weibull fit (ZHAW Hubbuch & Vecsei): air 20 yr SD 7, ground 26.7 yr SD 4.7;;;;True;;;True;True;;;Unknown;;;station normal year (record length does not enter);NOT_ASSESSABLE;;;;;;;True;True
8627071;physical_baseline_v2;2026-09-17T07:56:10Z;HIGH_EXCESS;confirmed excess over code, in the worst 25% of the fleet by lower bound;;;;True;2001_2010;31.0;8.0;phys_rank_value_lo_kwh_yr;fleet;"ranked fleet-wide; per m2 the physics under-predicts newer construction eras by 24-53% (P9/P21), so this order tilts toward older houses - filter by phys_era or use phys_rank_in_era";2570.0;2356.0;False;2570.0;2356.0;3431.0;1075.0;107.3;98.4;143.2;2570.0;2253.0;3090.0;builder;0.0;9.0;484.0;installer;True;364.0;214.0;1992.0;0.0;1.0;RECORD_INSTALL_YEAR;;2024;measured failures, Weibull fit (ZHAW Hubbuch & Vecsei): air 20 yr SD 7, ground 26.7 yr SD 4.7;79.0;157.0;236.0;True;4965.0;2395.0;True;True;T2;True;Unknown;270.0;3.628;station normal year (record length does not enter);INCONCLUSIVE;1608.0;-2396.0;3907.0;76.3;-4.25;;True;True
867211;physical_baseline_v2;2026-09-17T07:56:10Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut;;;;True;1991_2000;50.0;6.0;phys_rank_value_lo_kwh_yr;fleet;"ranked fleet-wide; per m2 the physics under-predicts newer construction eras by 24-53% (P9/P21), so this order tilts toward older houses - filter by phys_era or use phys_rank_in_era";1988.0;1806.0;False;1988.0;1806.0;2894.0;1087.0;87.8;79.7;127.7;1988.0;1673.0;2504.0;builder;0.0;15.0;557.0;installer;True;424.0;236.0;1328.0;0.0;1.0;RECORD_INSTALL_YEAR;;2024;measured failures, Weibull fit (ZHAW Hubbuch & Vecsei): air 20 yr SD 7, ground 26.7 yr SD 4.7;6.0;12.0;18.0;True;4254.0;2266.0;True;True;T2;True;Unknown;718.0;3.723;station normal year (record length does not enter);USES_LESS_THAN_MODELLED;-845.0;-1960.0;-818.0;-36.0;6.89;;True;True
1114677;physical_baseline_v2;2026-09-17T07:56:10Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut;;;;True;post2010;49.0;1.0;phys_rank_value_lo_kwh_yr;fleet;"ranked fleet-wide; per m2 the physics under-predicts newer construction eras by 24-53% (P9/P21), so this order tilts toward older houses - filter by phys_era or use phys_rank_in_era";1969.0;1811.0;False;1969.0;1811.0;2968.0;1157.0;46.6;42.8;70.2;1969.0;1650.0;2453.0;builder;0.0;13.0;736.0;installer;True;132.0;0.0;1837.0;0.0;1.0;RECORD_INSTALL_YEAR;;2024;measured failures, Weibull fit (ZHAW Hubbuch & Vecsei): air 20 yr SD 7, ground 26.7 yr SD 4.7;88.0;177.0;265.0;True;6199.0;4229.0;True;True;T2;True;Unknown;500.0;5.349;station normal year (record length does not enter);SLOPE_EXCESS;5377.0;3485.0;6070.0;160.9;3.79;1.0;True;True
611797;physical_baseline_v2;2026-09-17T07:56:10Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut;;;;True;1976_1990;57.0;13.0;phys_rank_value_lo_kwh_yr;fleet;"ranked fleet-wide; per m2 the physics under-predicts newer construction eras by 24-53% (P9/P21), so this order tilts toward older houses - filter by phys_era or use phys_rank_in_era";2339.0;1715.0;False;2339.0;1715.0;4084.0;2369.0;80.1;58.7;139.9;2339.0;1553.0;3692.0;builder;0.0;6.0;514.0;installer;True;1114.0;0.0;1225.0;0.0;1.0;RECORD_INSTALL_YEAR;;2024;measured failures, Weibull fit (ZHAW Hubbuch & Vecsei): air 20 yr SD 7, ground 26.7 yr SD 4.7;168.0;335.0;503.0;True;5258.0;2919.0;True;True;T3;True;Unknown;1130.0;3.628;station normal year (record length does not enter);SLOPE_EXCESS;3021.0;1245.0;3733.0;90.1;6.97;5.0;True;True
1137376;physical_baseline_v2;2026-09-17T07:56:10Z;HIGH_EXCESS;confirmed excess over code, in the worst 25% of the fleet by lower bound;;;;True;1976_1990;5.0;1.0;phys_rank_value_lo_kwh_yr;fleet;"ranked fleet-wide; per m2 the physics under-predicts newer construction eras by 24-53% (P9/P21), so this order tilts toward older houses - filter by phys_era or use phys_rank_in_era";4440.0;4269.0;False;4440.0;4269.0;5954.0;1685.0;160.8;154.6;215.6;4440.0;4145.0;5681.0;builder;0.0;7.0;396.0;installer;True;1121.0;0.0;3320.0;0.0;1.0;RECORD_INSTALL_YEAR;;2024;measured failures, Weibull fit (ZHAW Hubbuch & Vecsei): air 20 yr SD 7, ground 26.7 yr SD 4.7;25.0;50.0;76.0;True;7202.0;2762.0;True;True;T2;True;no PV;1678.0;3.723;station normal year (record length does not enter);INCONCLUSIVE;1597.0;-80.0;1886.0;65.5;11.83;;True;True
779742;physical_baseline_v2;2026-09-17T07:56:10Z;INCOMPLETE_AUDIT;never computed - see phys_no_result_reason for this household's cause;meter record too short or lacks season coverage;"none - needs a longer meter record; a visit does not help";True;;;;;phys_rank_value_lo_kwh_yr;fleet;"ranked fleet-wide; per m2 the physics under-predicts newer construction eras by 24-53% (P9/P21), so this order tilts toward older houses - filter by phys_era or use phys_rank_in_era";;;False;;;;;;;;;;;builder;;;;installer;False;;;;;;;;2024;measured failures, Weibull fit (ZHAW Hubbuch & Vecsei): air 20 yr SD 7, ground 26.7 yr SD 4.7;;;;True;;;True;True;;;Unknown;;;station normal year (record length does not enter);NOT_ASSESSABLE;;;;;;;True;True
700831;physical_baseline_v2;2026-09-17T07:56:10Z;HIGH_EXCESS;confirmed excess over code, in the worst 25% of the fleet by lower bound;;;;True;1976_1990;6.0;2.0;phys_rank_value_lo_kwh_yr;fleet;"ranked fleet-wide; per m2 the physics under-predicts newer construction eras by 24-53% (P9/P21), so this order tilts toward older houses - filter by phys_era or use phys_rank_in_era";4196.0;3984.0;False;4196.0;3984.0;6678.0;2694.0;127.5;121.0;202.9;4196.0;3855.0;5830.0;builder;0.0;28.0;925.0;installer;True;2489.0;380.0;1328.0;0.0;1.0;RECORD_INSTALL_YEAR;;2024;measured failures, Weibull fit (ZHAW Hubbuch & Vecsei): air 20 yr SD 7, ground 26.7 yr SD 4.7;0.0;0.0;0.0;True;7487.0;3291.0;True;True;T2;True;Unknown;836.0;3.727;station normal year (record length does not enter);INCONCLUSIVE;1637.0;-1026.0;2148.0;29.3;29.06;;True;True
1191127;physical_baseline_v2;2026-09-17T07:56:10Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut;;;;True;2001_2010;145.0;30.0;phys_rank_value_lo_kwh_yr;fleet;"ranked fleet-wide; per m2 the physics under-predicts newer construction eras by 24-53% (P9/P21), so this order tilts toward older houses - filter by phys_era or use phys_rank_in_era";246.0;194.0;False;246.0;194.0;819.0;625.0;11.7;9.2;38.9;246.0;88.0;526.0;builder;0.0;5.0;364.0;installer;True;246.0;0.0;0.0;0.0;1.0;RECORD_INSTALL_YEAR;;2024;measured failures, Weibull fit (ZHAW Hubbuch & Vecsei): air 20 yr SD 7, ground 26.7 yr SD 4.7;6.0;11.0;17.0;True;2352.0;2107.0;True;True;T2;True;PV;296.0;3.628;station normal year (record length does not enter);SLOPE_EXCESS;2125.0;700.0;2794.0;143.0;6.66;3.0;True;True
121798;physical_baseline_v2;2026-09-17T07:56:10Z;HIGH_EXCESS;confirmed excess over code, in the worst 25% of the fleet by lower bound;;;;True;1976_1990;33.0;8.0;phys_rank_value_lo_kwh_yr;fleet;"ranked fleet-wide; per m2 the physics under-predicts newer construction eras by 24-53% (P9/P21), so this order tilts toward older houses - filter by phys_era or use phys_rank_in_era";2381.0;2255.0;False;2381.0;2255.0;3368.0;1112.0;143.1;135.5;202.4;2381.0;2226.0;3098.0;builder;0.0;7.0;351.0;installer;True;901.0;152.0;1328.0;0.0;1.0;RECORD_INSTALL_YEAR;;2024;measured failures, Weibull fit (ZHAW Hubbuch & Vecsei): air 20 yr SD 7, ground 26.7 yr SD 4.7;14.0;28.0;42.0;True;4045.0;1664.0;True;True;T2;True;Unknown;424.0;3.717;station normal year (record length does not enter);SLOPE_EXCESS;2575.0;1136.0;2727.0;120.3;13.33;6.0;True;True
114671;physical_baseline_v2;2026-09-17T07:56:10Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut;;;;True;pre1975;52.0;20.0;phys_rank_value_lo_kwh_yr;fleet;"ranked fleet-wide; per m2 the physics under-predicts newer construction eras by 24-53% (P9/P21), so this order tilts toward older houses - filter by phys_era or use phys_rank_in_era";2213.0;1739.0;False;2213.0;1739.0;3771.0;2031.0;84.7;66.5;144.3;2213.0;1657.0;3344.0;builder;0.0;9.0;511.0;installer;True;1782.0;431.0;0.0;0.0;1.0;RECORD_INSTALL_YEAR;;2024;measured failures, Weibull fit (ZHAW Hubbuch & Vecsei): air 20 yr SD 7, ground 26.7 yr SD 4.7;0.0;0.0;0.0;True;4827.0;2614.0;True;True;T3;True;Unknown;571.0;3.628;station normal year (record length does not enter);INCONCLUSIVE;340.0;-1255.0;846.0;9.3;12.68;;True;True
1121037;physical_baseline_v2;2026-09-17T07:56:10Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut;;;;True;2001_2010;151.0;33.0;phys_rank_value_lo_kwh_yr;fleet;"ranked fleet-wide; per m2 the physics under-predicts newer construction eras by 24-53% (P9/P21), so this order tilts toward older houses - filter by phys_era or use phys_rank_in_era";201.0;138.0;False;201.0;138.0;639.0;501.0;9.5;6.5;30.3;201.0;80.0;430.0;builder;0.0;7.0;271.0;installer;True;201.0;0.0;0.0;0.0;1.0;RECORD_INSTALL_YEAR;;2024;measured failures, Weibull fit (ZHAW Hubbuch & Vecsei): air 20 yr SD 7, ground 26.7 yr SD 4.7;11.0;22.0;32.0;True;2308.0;2108.0;True;True;T2;True;Unknown;683.0;3.723;station normal year (record length does not enter);SLOPE_EXCESS;2404.0;1768.0;2648.0;208.4;11.72;1.0;True;True
120912;physical_baseline_v2;2026-09-17T07:56:10Z;INCOMPLETE_AUDIT;never computed - see phys_no_result_reason for this household's cause;meter record too short or lacks season coverage;"none - needs a longer meter record; a visit does not help";True;;;;;phys_rank_value_lo_kwh_yr;fleet;"ranked fleet-wide; per m2 the physics under-predicts newer construction eras by 24-53% (P9/P21), so this order tilts toward older houses - filter by phys_era or use phys_rank_in_era";;;False;;;;;;;;;;;builder;;;;installer;False;;;;;;;;2024;measured failures, Weibull fit (ZHAW Hubbuch & Vecsei): air 20 yr SD 7, ground 26.7 yr SD 4.7;;;;True;;;True;True;;;Unknown;;;station normal year (record length does not enter);NOT_ASSESSABLE;;;;;;;True;True
9880798;physical_baseline_v2;2026-09-17T07:56:10Z;HIGH_EXCESS;confirmed excess over code, in the worst 25% of the fleet by lower bound;;;;True;1991_2000;23.0;3.0;phys_rank_value_lo_kwh_yr;fleet;"ranked fleet-wide; per m2 the physics under-predicts newer construction eras by 24-53% (P9/P21), so this order tilts toward older houses - filter by phys_era or use phys_rank_in_era";2859.0;2599.0;False;2859.0;2599.0;3686.0;1087.0;135.2;122.9;174.2;2859.0;2484.0;3528.0;builder;0.0;6.0;266.0;installer;True;203.0;0.0;2656.0;0.0;1.0;RECORD_INSTALL_YEAR;;2024;measured failures, Weibull fit (ZHAW Hubbuch & Vecsei): air 20 yr SD 7, ground 26.7 yr SD 4.7;;;;True;4974.0;2115.0;True;True;T2;True;no PV;587.0;3.717;station normal year (record length does not enter);SLOPE_EXCESS;2972.0;2346.0;3088.0;255.4;4.77;2.0;True;True
680861;physical_baseline_v2;2026-09-17T07:56:10Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut;;;;True;1991_2000;136.0;14.0;phys_rank_value_lo_kwh_yr;fleet;"ranked fleet-wide; per m2 the physics under-predicts newer construction eras by 24-53% (P9/P21), so this order tilts toward older houses - filter by phys_era or use phys_rank_in_era";371.0;245.0;False;371.0;245.0;1331.0;1086.0;14.1;9.3;50.6;371.0;147.0;821.0;builder;0.0;15.0;597.0;installer;True;371.0;0.0;0.0;0.0;1.0;RECORD_INSTALL_YEAR;;2024;measured failures, Weibull fit (ZHAW Hubbuch & Vecsei): air 20 yr SD 7, ground 26.7 yr SD 4.7;32.0;63.0;95.0;True;3005.0;2633.0;True;True;T2;True;no PV;543.0;3.717;station normal year (record length does not enter);SLOPE_EXCESS;3912.0;79.0;5271.0;161.2;28.04;9.0;True;True
